DISTANCE_FISHED,NET_WIDTH(M),NET_WIDTH(KM),YEAR
1.586,17.463,0.017463,2005
1.331,15.101,0.015101,2005
1.423,16.943,0.016943,2005
1.502,13.716,0.013716,2005
1.446,13.478,0.013478,2005
1.397,15.154,0.015154,2005
1.438,14.785,0.014785,2005
1.422,14.299,0.014299,2005
1.444,15.48,0.01548,2005
1.403,14.323,0.014323,2005
1.435,13.896,0.013896,2005
1.579,15.466,0.015466,2005
1.411,15.232,0.015232,2005
1.396,16.348,0.016348,2005
1.376,16.323,0.016323,2005
1.392,16.3,0.0163,2005
1.39,15.76,0.01576,2005
1.378,14.805,0.014805,2005
1.412,14.56,0.01456,2005
1.385,14.223,0.014223,2005
1.394,15.328,0.015328,2005
1.419,14.944,0.014944,2005
1.393,15.324,0.015324,2005
1.42,15.854,0.015854,2005
1.38,14.964,0.014964,2005
1.396,15.324,0.015324,2005
1.421,15.956,0.015956,2005
1.393,14.83,0.01483,2005
1.456,16.164,0.016164,2005
1.374,14.997,0.014997,2005
1.393,15.32,0.01532,2005
1.361,14.28,0.01428,2005
1.399,17.923,0.017923,2005
1.404,17.262,0.017262,2005
1.397,16.361,0.016361,2005
1.383,16.64,0.01664,2005
1.483,15.191,0.015191,2005
1.434,15.425,0.015425,2005
1.432,15.708,0.015708,2005
1.387,15.318,0.015318,2005
1.414,16.173,0.016173,2005
1.387,16.311,0.016311,2005
1.439,15.729,0.015729,2005
1.372,15.76,0.01576,2005
1.395,15.805,0.015805,2005
1.426,16.015,0.016015,2005
1.417,16.597,0.016597,2005
1.647,17.659,0.017659,2005
1.418,17.92,0.01792,2005
1.441,17.767,0.017767,2005
1.385,17.158,0.017158,2005
1.44,16.552,0.016552,2005
1.409,15.379,0.015379,2005
1.365,15.977,0.015977,2005
1.44,15.896,0.015896,2005
1.421,14.607,0.014607,2005
1.434,15.367,0.015367,2005
1.416,15.588,0.015588,2005
1.405,15.741,0.015741,2005
1.459,14.046,0.014046,2005
1.419,15.077,0.015077,2005
1.414,16.23,0.01623,2005
1.448,15.517,0.015517,2005
1.436,15.8,0.0158,2005
1.411,15.562,0.015562,2005
1.416,16.078,0.016078,2005
1.483,16.456,0.016456,2005
1.47,16.005,0.016005,2005
1.409,16.758,0.016758,2005
1.411,16.408,0.016408,2005
1.409,15.951,0.015951,2005
1.47,14.873,0.014873,2005
1.427,15.74,0.01574,2005
1.395,16.161,0.016161,2005
1.424,16.417,0.016417,2005
1.523,15.951,0.015951,2005
1.436,16.672,0.016672,2005
1.436,17.442,0.017442,2005
1.504,17.807,0.017807,2005
1.43,16.998,0.016998,2005
1.553,18.065,0.018065,2005
1.553,17.211,0.017211,2005
1.415,15.736,0.015736,2005
1.359,15.775,0.015775,2005
1.418,15.429,0.015429,2005
1.435,14.682,0.014682,2005
1.515,17.145,0.017145,2005
1.515,16.879,0.016879,2005
1.483,16.512,0.016512,2005
1.491,15.131,0.015131,2005
1.442,16.075,0.016075,2005
1.327,15.12,0.01512,2005
1.446,15.308,0.015308,2005
1.45,17.112,0.017112,2005
1.418,14.899,0.014899,2005
1.437,15.222,0.015222,2005
1.467,15.529,0.015529,2005
1.427,15.228,0.015228,2005
1.428,15.337,0.015337,2005
1.534,16.149,0.016149,2005
1.444,17.148,0.017148,2005
1.465,14.584,0.014584,2005
1.415,14.866,0.014866,2005
1.463,14.557,0.014557,2005
1.433,16.008,0.016008,2005
1.472,16.036,0.016036,2005
1.478,16.594,0.016594,2005
1.466,16.817,0.016817,2005
1.496,17.521,0.017521,2005
1.436,18.13,0.01813,2005
1.444,15.836,0.015836,2005
1.435,14.936,0.014936,2005
1.518,15.53,0.01553,2005
1.536,15.208,0.015208,2005
1.402,15.368,0.015368,2005
1.386,15.188,0.015188,2005
1.401,15.238,0.015238,2005
1.39,16.938,0.016938,2005
1.417,15.903,0.015903,2005
1.436,16.74,0.01674,2005
1.437,16.959,0.016959,2005
1.42,16.898,0.016898,2005
1.542,17.392,0.017392,2005
1.41,14.62,0.01462,2005
1.45,16.235,0.016235,2005
1.392,13.805,0.013805,2005
1.469,13.667,0.013667,2005
1.604,13.557,0.013557,2005
1.449,15.244,0.015244,2005
1.443,15.322,0.015322,2005
1.409,16.626,0.016626,2005
1.391,16.822,0.016822,2005
1.482,14.699,0.014699,2005
1.648,12.609,0.012609,2005
1.428,16.263,0.016263,2005
1.439,16.477,0.016477,2005
1.418,14.882,0.014882,2005
1.501,14.239,0.014239,2005
1.511,17.166,0.017166,2005
1.395,17.172,0.017172,2005
1.465,16.723,0.016723,2005
1.426,16.618,0.016618,2005
1.458,15.105,0.015105,2005
1.422,14.617,0.014617,2005
1.387,15.139,0.015139,2005
1.423,18.464,0.018464,2005
1.426,14.654,0.014654,2005
1.62,15.107,0.015107,2005
1.463,16.148,0.016148,2005
1.436,15.124,0.015124,2005
1.436,15.785,0.015785,2005
1.395,15.697,0.015697,2005
1.004,15.147,0.015147,2005
1.532,14.472,0.014472,2005
1.427,15.14,0.01514,2005
1.504,15.218,0.015218,2005
1.472,16.722,0.016722,2005
1.484,16.35,0.01635,2005
1.477,15.518,0.015518,2005
1.522,14.944,0.014944,2005
1.48,15.776,0.015776,2005
1.518,14.836,0.014836,2005
1.47,15.29,0.01529,2005
1.168,16.183,0.016183,2005
1.48,15.878,0.015878,2005
1.482,15.523,0.015523,2005
1.446,15.466,0.015466,2005
1.479,15.446,0.015446,2005
1.425,15.255,0.015255,2005
1.431,15.47,0.01547,2005
1.495,15.668,0.015668,2005
1.44,15.705,0.015705,2005
1.477,15.127,0.015127,2005
1.462,16.42,0.01642,2005
1.478,15.949,0.015949,2005
1.491,15.251,0.015251,2005
1.012,15.722,0.015722,2005
1.51,14.857,0.014857,2005
1.487,15.879,0.015879,2005
1.474,16.245,0.016245,2005
1.476,16.492,0.016492,2005
1.443,14.518,0.014518,2005
1.456,15.128,0.015128,2005
1.455,15.271,0.015271,2005
1.459,15.901,0.015901,2005
1.485,15.429,0.015429,2005
1.646,14.375,0.014375,2005
1.44,16.553,0.016553,2005
1.448,16.006,0.016006,2005
1.421,15.854,0.015854,2005
1.434,16.922,0.016922,2005
1.454,15.391,0.015391,2005
1.427,17.676,0.017676,2005
1.441,17.78,0.01778,2005
1.429,17.148,0.017148,2005
1.439,15.875,0.015875,2005
1.443,15.392,0.015392,2005
1.494,15.254,0.015254,2005
1.478,16.395,0.016395,2005
1.486,15.827,0.015827,2005
1.534,14.58,0.01458,2005
1.444,15.376,0.015376,2005
1.435,15.294,0.015294,2005
1.446,16.371,0.016371,2005
1.431,16.45,0.01645,2005
1.453,15.603,0.015603,2005
1.425,16.332,0.016332,2005
1.423,16.161,0.016161,2005
1.427,15.764,0.015764,2005
1.428,15.912,0.015912,2005
1.482,15.289,0.015289,2005
1.474,15.135,0.015135,2005
1.392,16.878,0.016878,2005
1.457,15.68,0.01568,2005
1.437,16.262,0.016262,2005
1.413,16.251,0.016251,2005
1.46,16.105,0.016105,2005
1.407,17.447,0.017447,2005
1.465,15.83,0.01583,2005
1.449,16.466,0.016466,2005
1.406,16.918,0.016918,2005
1.432,16.509,0.016509,2005
1.426,16.738,0.016738,2005
1.404,16.742,0.016742,2005
1.451,16.46,0.01646,2005
1.463,15.342,0.015342,2005
1.423,15.474,0.015474,2005
1.41,15.428,0.015428,2005
1.413,16.151,0.016151,2005
1.416,16.301,0.016301,2005
1.418,16.406,0.016406,2005
1.434,14.808,0.014808,2005
1.382,16.223,0.016223,2005
1.442,16.267,0.016267,2005
1.424,15.853,0.015853,2005
1.437,16.047,0.016047,2005
1.422,14.453,0.014453,2005
1.408,16.311,0.016311,2005
1.408,15.507,0.015507,2005
1.436,15.948,0.015948,2005
1.431,15.801,0.015801,2005
1.458,16.033,0.016033,2005
1.453,16.047,0.016047,2005
1.412,15.71,0.01571,2005
1.434,14.728,0.014728,2005
1.454,16.74,0.01674,2005
1.461,15.801,0.015801,2005
1.437,15.605,0.015605,2005
1.413,16.109,0.016109,2005
1.472,14.973,0.014973,2005
1.402,14.125,0.014125,2005
1.424,15.806,0.015806,2005
1.426,15.91,0.01591,2005
1.399,14.265,0.014265,2005
1.42,14.506,0.014506,2005
1.446,15.953,0.015953,2005
1.419,15.386,0.015386,2005
1.374,14.58,0.01458,2005
1.393,15.516,0.015516,2005
1.399,15.944,0.015944,2005
1.41,16.844,0.016844,2005
1.398,15.622,0.015622,2005
1.422,16.91,0.01691,2005
1.433,15.985,0.015985,2005
1.406,16.672,0.016672,2005
1.432,17.251,0.017251,2005
1.401,15.793,0.015793,2005
1.407,15.41,0.01541,2005
1.344,16.846,0.016846,2005
1.405,16.032,0.016032,2005
1.403,16.279,0.016279,2005
1.395,16.082,0.016082,2005
1.413,16.175,0.016175,2005
1.417,15.267,0.015267,2005
1.4,16.16,0.01616,2005
1.364,15.539,0.015539,2005
1.397,15.572,0.015572,2005
1.44,15.893,0.015893,2005
1.424,15.867,0.015867,2005
1.426,16.559,0.016559,2005
1.394,14.676,0.014676,2005
1.402,15.975,0.015975,2005
1.338,16.111,0.016111,2005
1.414,15.779,0.015779,2005
1.413,15.576,0.015576,2005
1.417,14.673,0.014673,2005
1.425,15.957,0.015957,2005
1.429,16.311,0.016311,2005
1.418,14.519,0.014519,2005
1.44,15.707,0.015707,2005
1.399,16.688,0.016688,2005
1.434,16.364,0.016364,2005
1.4,15.864,0.015864,2005
1.415,16.465,0.016465,2005
1.391,14.415,0.014415,2005
1.39,14.705,0.014705,2005
1.432,16.164,0.016164,2005
1.421,16.052,0.016052,2005
1.477,16.199,0.016199,2005
1.496,19.99,0.01999,2005
1.45,20.407,0.020407,2005
1.075,14.66,0.01466,2005
1.75,17.212,0.017212,2005
1.475,16.89,0.01689,2005
1.494,16.598,0.016598,2005
1.79,16.097,0.016097,2005
1.52,16.468,0.016468,2005
1.523,16.434,0.016434,2005
1.605,15.757,0.015757,2005
1.392,15.354,0.015354,2005
1.496,15.41,0.01541,2005
1.561,14.707,0.014707,2005
1.733,14.585,0.014585,2005
1.549,15.161,0.015161,2005
1.298,14.761,0.014761,2005
1.565,15.984,0.015984,2005
1.553,15.648,0.015648,2005
1.466,14.611,0.014611,2005
1.562,13.774,0.013774,2005
1.606,13.85,0.01385,2005
1.602,15.939,0.015939,2005
1.584,16.804,0.016804,2005
0.977,15.415,0.015415,2005
1.53,16.22,0.01622,2005
1.753,14.98,0.01498,2005
1.573,16.343,0.016343,2005
1.45,15.471,0.015471,2005
1.557,16.278,0.016278,2005
1.532,17.104,0.017104,2005
1.708,12.483,0.012483,2005
1.438,16.483,0.016483,2005
1.705,16.61,0.01661,2005
1.584,16.22,0.01622,2005
1.351,16.528,0.016528,2005
1.488,15.96,0.01596,2005
1.607,15.998,0.015998,2005
1.617,15.148,0.015148,2005
1.562,15.304,0.015304,2005
1.667,14.127,0.014127,2005
1.619,15.759,0.015759,2005
1.576,15.172,0.015172,2005
1.493,15.189,0.015189,2005
1.726,17.404,0.017404,2005
1.612,17.184,0.017184,2005
1.331,16.264,0.016264,2005
1.45,15.537,0.015537,2005
1.512,15.966,0.015966,2005
1.253,15.585,0.015585,2005
1.499,14.593,0.014593,2005
